-2.5643e-06,0.20699,-4028.4
-2.4804e-06,0.20057,-3905.2
-2.4778e-06,0.20364,-4036.6
-2.1643e-06,0.17688,-3459.9
-2.0505e-06,0.16767,-3272.2
-2.2148e-06,0.18573,-3744.5
-1.9673e-06,0.16246,-3198.7
-2.2399e-06,0.18488,-3662.6
-2.3281e-06,0.19306,-3852.9
-2.2071e-06,0.18225,-3609.8
-2.5903e-06,0.21137,-4158.1
-3.2156e-06,0.25823,-5044.2
-3.0841e-06,0.24814,-4849.8
-2.7668e-06,0.2237,-4378.6
-2.8429e-06,0.23276,-4622
-2.6231e-06,0.21585,-4296.5
-2.2886e-06,0.1895,-3773.2
-2.4676e-06,0.20665,-4182.3
-2.5425e-06,0.21312,-4321.9
-2.5907e-06,0.21309,-4235.4
-2.6603e-06,0.21965,-4388.1
-2.8882e-06,0.23363,-4576.2
-3.347e-06,0.26979,-5298
-2.9615e-06,0.23698,-4597.4
-2.8527e-06,0.23211,-4579.9
-2.5213e-06,0.2038,-3968.9
-2.649e-06,0.2161,-4263.2
-2.3359e-06,0.1916,-3779.6
-2.5541e-06,0.21008,-4173.4
-2.6005e-06,0.21482,-4290.8
-2.3721e-06,0.19417,-3822.6
-2.7075e-06,0.22229,-4416.4
-3.0583e-06,0.25037,-4981.4
-3.3716e-06,0.26945,-5242.8
-2.9776e-06,0.23816,-4617.3
-3.0235e-06,0.24481,-4814.2
-2.6339e-06,0.21301,-4159.2
-2.3633e-06,0.18912,-3630.3
-2.3768e-06,0.1938,-3799.2
-2.3578e-06,0.19095,-3712.3
-2.3293e-06,0.18994,-3719.3
-2.7978e-06,0.22853,-4520.3
-2.5412e-06,0.20712,-4070.2
-3.4352e-06,0.2759,-5396.1
-3.3417e-06,0.26876,-5263
-3.0244e-06,0.24506,-4819.8
-3.0227e-06,0.24422,-4789.3
-2.389e-06,0.19271,-3733.3
-2.3314e-06,0.18826,-3647.6
-2.2094e-06,0.17908,-3474.3
-2.5671e-06,0.21062,-4171.5
-2.4081e-06,0.19599,-3835.6
-2.552e-06,0.20734,-4059.3
-2.4285e-06,0.19659,-3824.1
-3.5257e-06,0.28439,-5591.7
-3.4669e-06,0.28115,-5563
-2.5976e-06,0.20657,-3955.5
-2.7287e-06,0.21939,-4263.1
-2.4671e-06,0.19827,-3829.8
-2.5081e-06,0.20522,-4051.4
-2.3838e-06,0.19128,-3682.2
-2.4094e-06,0.19696,-3875.8
-2.3923e-06,0.19204,-3699.6
-2.4955e-06,0.20282,-3970
-2.6806e-06,0.21766,-4269.1
-3.3931e-06,0.27272,-5335.3
-3.4687e-06,0.28195,-5592.9
-2.484e-06,0.203,-3999.6
-2.6972e-06,0.21885,-4292.2
-2.8573e-06,0.23357,-4629.2
-2.5939e-06,0.21092,-4139.8
-2.3657e-06,0.19481,-3860.5
-2.6022e-06,0.21453,-4276.7
-2.5343e-06,0.20746,-4096.9
-2.9952e-06,0.25131,-5134.6
-2.2343e-06,0.18281,-3584.9
-3.5125e-06,0.28336,-5571.8
-3.9416e-06,0.32394,-6523.3
-2.8606e-06,0.23296,-4599.2
-2.7364e-06,0.22404,-4440.4
-2.8537e-06,0.23641,-4754.9
-2.6958e-06,0.22325,-4479.3
-2.3725e-06,0.19399,-3813.3
-2.8905e-06,0.23995,-4840.7
-2.4268e-06,0.19751,-3866.2
-3.1101e-06,0.25917,-5262.5
-2.7681e-06,0.22686,-4501.7
-3.415e-06,0.27694,-5471.8
-3.1436e-06,0.25525,-5039.5
-2.8553e-06,0.23145,-4545.3
-2.7233e-06,0.22222,-4387.7
-2.7e-06,0.22173,-4407.6
-2.5222e-06,0.20694,-4097.8
-2.413e-06,0.19803,-3913.8
-2.5719e-06,0.21287,-4260.9
-2.4762e-06,0.20155,-3949.7
-3.0164e-06,0.25014,-5047.1
-2.697e-06,0.21975,-4327.7
-3.5471e-06,0.28723,-5674
-3.0055e-06,0.24172,-4715.9
-2.7906e-06,0.22876,-4544.7
-2.6802e-06,0.21749,-4266.8
-2.6468e-06,0.21881,-4377.5
-2.5341e-06,0.20878,-4155
-2.4858e-06,0.20379,-4028.8
-2.4172e-06,0.19924,-3957.6
-2.3988e-06,0.19639,-3869.1
-2.7007e-06,0.22112,-4380.9
-2.687e-06,0.21994,-4353.8
-3.7987e-06,0.30811,-6110.6
-3.2494e-06,0.26688,-5344.5
-2.6821e-06,0.22048,-4388.5
-2.8237e-06,0.23282,-4658.7
-2.529e-06,0.20971,-4203.9
-2.2954e-06,0.19193,-3868.2
-2.5491e-06,0.21228,-4276.3
-2.5528e-06,0.21208,-4260.5
-2.459e-06,0.20428,-4097
-2.5709e-06,0.21169,-4212.4
-2.7678e-06,0.22826,-4562.6
-3.6473e-06,0.29807,-5951.1
